SRI VIGNESHWARA RICE TRADERS,,
,,
Sales Summary  01/08/2023-31/08/2023,,
,,
Product Name,Qty.,Amount
FORTUNE MUS OIL,2,365
MUSTARD 250G,7,364
DOVE SHAMPO M,2,360
DABUR PASTE 200G,3,359
SENSODINE 180,2,350
VIM TUB 60RS,6,347
PISTA 200GM,1,345
COMFART 450ML,3,345
RAVA B,8,344
TETLEY G TEA,2,330
MAGGI 8PACK,3,330
BADAM SEEDS 100G,4,330
JAGARY BUCKET,5,325
JAGARRY POWDER,5,325
FORTUNE SOYA 200,6,325
DETTOL SOAP B,5,325
SURF XL 500GM,3,321
HMT SONA,5,320
ARIEL 500GM,4,314
SWA RAVA IDLY 1=,2.5,312.5
MTR VANGIBATH 10,4,312
SUNRISE 2RS,155,310
CLI SHAMPO 1RS,306,306
PHENYLE BLACK,5,305
W TILL LOOSE,1,300
P CHUTE 200ML,4,300
T.STICKS,1.2,291.25
DETTOL SET,2,290
SAFOLA GREEN,2,290
ASH CP 100,7,285
RED LABEL 500G,1,280
JEERA 50GM,7,280
CHILLY (R),0.5,280
OREO 10RS,28,280
SENSODENE 125,3,280
3ROSES NC 100G,3,279.99
CYCLE DOOPA 72,4,278
COL BRUSH 20RS,12,275
MAGGI 4PACK,5,275
GRB JAMUN 1=1,2,275
MTR SEMIYA R 500,5,275
COTHAS 100G,4,268
TATA GOLD 100,6,265
3ROSES 100G,3,264
SURF XL 22RS,12,260
DABUR HONEY 100G,4,260
ANNAPURNA ATTA 1,4,260
NYLON SAIGO 500G,4,260
BOTI LOOSE,1.65,247.5
BOOST 500G,1,245
SURF FR 1LR,1,245
PATTA,0.54,243
MTR DP 100G,8,242
FAIR N LOVELY 50,2,240
BARLY 100G,11,240
RAVA(C),5,240
SURF XL 1KG,1,240
PEARS SET 230 RS,1,240
MAGGI 12RS,17,238
MTR BISIBELE 100,3,234
SHANTALA 40RS,7,234
INDULEKA SHAMPO,1,230
STAY FREE 35RS,6,228
MTR SEMIYA 500G,5,227
CLINIC PLUS 200,2,226
GOOD KNGHT LIQUI,3,225
TAJ 250G,1,225
EV KASMIRI 100GM,2,225
MY SANDEL DOOPA,8,224
KARJURA 500GM,1.23,223.7
YALAKI 10GM,11,222
3ROSES 250G,1,217
SAFOLA OATS 1KG,1,217
SWARNA CHAMPA 60,4,217
LIZOL 500ML,2,214
MTR RASAM 100G,3,214
TEJU CK 500GM,1.5,210
HORLICKS 500 JUN,1,210
JEENI WOMENS,1,210
DOVE COND,1,210
PALAV MIX 10RS,21,210
DETOL LIQ 500ML,1,205
SUGAR CANDY,1.2,205
CINTOL SOAP SET,6,204
MOP 240,1,200
SABEENA 500GM,20,200
GRB 50ML,2,200
DOMEX TOILET,2,200
COL MAX 100GM,3,198
MY SANDLE B,3,198
LIFE BOY 36RS,6,197
AA SP 100GM,4,196
MEDMIX B,4,193
H N S SHAMPO 200,1,192
PEPPER 50GM,4,192
DETTOL HAND B,2,190
RED RAW,3,190
GALA BROOM 210,1,190
COL VED OFFER 15,1,185
VIM LIQ 20RS,12,185
FAIR LOVELY 80GM,1,183
ARIEL FR 1LR,1,180
PHENYLE,3,180
HIDE N SIKE,6,180
PRAKASH TEA 500,1,172
LEVISTA 2RS,85,170
COMFART 180ML,3,168
PEPSDENT 100GM,3,166
ODONIL ROOM SPRA,1,165
METHI L,1,165
GRB 200ML,1,162
LIPTON G TEA,1,160
SURF EASY 500G,2,160
AA JEERA PO 50GM,4,160
VIM LIQ 250ML,3,159
RIN LIQUED,1,155
MTR DP 500GM,1,154
DETTOL SOAP S,4,152
DARK FANTASY 170,1,150
ODONIL,1,150
H&S SHAMPO 2RS,75,150
AA GARAM 100,2,148
MR MUSEL,1,146
REXONA SET,1,145
REXONA SOAP,3,143
AA CP 100GM,4,143
PITAMBARI 100G,3,142
BLECHING POWDER,6,141
STEEL SCRUB,11,141
CHANDRIKA SET,1,140
TATA GOLD 250G,1,140
SURF 10RS,14,140
CAMPAR 50RS,3,140
COTHAS 200G,1,135
IND RAGI SPL,1,135
VIM 5RS,27,135
PARRY BROWN SUGA,3,135
SUN SILK 200ML,1,130
HORLICKS 200G (B,1,130
CAMPAR 150RS,1,130
HAMSA RICE,10,130
MTR SP 200G,1,130
DOVE SOAP,2,126
PEARS BLUE,2,124
HIMALAYA SOAP 62,2,120
MTR BADAM POW 20,1,120
FAIR N LOVELY 25,2,120
AJAY HARD,6,120
GODREJ AIR,2,116
SOYA CHUNKS L,1,115
VASU BIG,3,115
DABUR HONEY 250G,1,115
MONACO BIS,1,115
COL HERBAL 200,1,112
HORLICKS 5RS,22,110
CELL 16RS,6,108
KARTIKA SHAMPO,1,108
P CHUTE 100ML,3,108
U YELLU,0.5,107.5
RED BOILED,2.15,107.5
PONDS D,1,105
NAPTHALE BALLS,3,105
CLOSE UP 100,2,104
BROOM STEEL,1,100
COLIN 500ML,1,100
VIJAY IDLY RAVA,2,100
BROOM RED,2,100
SCOTCHBRITE,5,100
BASMATHI RICE,1,100
CLINI PLUS 100ML,2,100
BUDS TULIP,5,100
JOLA,1.93,97.75
MTR PULIO 12RS,8,96
BALLAR DAL,0.5,95.75
HIMALAY B SHAMPO,1,95
LION DATES 250GM,1,93
TAJ 100G,1,92
MEDIMIX S,3,91
FORTUNE MUS OIL,1,90
WHISPER,3,90
LAVANG 10GM,4,90
ENO 10RS,9,90
LONG BODY,2,89
MY SANDLE GOLD,1,87
PARRY JAGARY POW,2,86
EVEREADY S,5,85
GAR FACE,1,85
SOUMF 100GM,2,85
MTR HING 50G,1,85
TATA GOLD 100G,2,83.8
AA DP 100GM,2.5,82
HIMALAYA FC B,1,80
LG POWDER,1,80
GINGER GARLIC 5R,16,80
CYCLE 20RS,3,80
IG PULIOGARE,8,80
KASTURI METHI 10,2,80
ANNAS FLOWER,0.075,78.75
ROCKSALT,5,75
MUSTERD LOOSE,0.5,74
UJALA BIG,1,73
PALAV LEAF LOOSE,0.175,73
TETLEY 75RS,1,72
JAPATRE L,0.025,70
IND RAGI,1,70
LIFE BOY REF 40R,1,70
DOVE SHAMP S,1,70
BRU 2RS,35,70
SANTOOR 10RS,7,70
TIDE 10RS,7,70
MTR PAYASA 100GM,1,68.12
ANIL RICE 500GM,1,68
POWER SOAP,7,67.4
MESWAK 100GM,1,67
MTR SP 100G,1,65
RED LABELE NC 10,1,64
SOYA BEAN,0.5,63.75
HAMAM SOAP,1,63
DRY GRAPES L,0.15,61
W TILL 250,1,60
B TILL 100,2,60
MTR LIME 15RS,4,60
SCBRITE 15RS,4,60
SWA GARAM 200,1,60
YIPPEE 12RS,5,60
MTR VANGIBATH 10,5,60
GOOD DAY 10RS,6,60
EV TIKALAL 100,1,60
EXO 10RS,6,60
PICKLE 60RS,1,58
ANIL BROKEN WHEA,1,58
AA PEPPER PO 50G,1,56
SENSODEBE BRUSH,2,56
APLA 30RS,2,56
COMFART 4RS,14,56
SOYA CHUNKS 200G,1,55
APLA MADURAI,1,55
CAMPAR 100RS,1,55
LUX BIG,1,55
M MOGGU,0.05,55
CORN FLOUR,1,55
MTR G MASALA 50,1,53
PICKLE 55RS,1,53
RIN POWDER 500GM,1,52
MTR SEMIYA 200GM,3,51
ACT 10RS,5,50
ACT 33RS,2,50
ROBIN CUPS,1,50
RED LABLE 10RS,5,50
METHI 250GM,1,50
STAR KESAR,5,50
PEPSDENT 2IN 1,1,50
WHEEL SOAP 10RS,5,49
PICKLE 50RS,1,48
SH SP 100GM,1,48
VIJAY RICE FLOOR,1,48
OATS 15RS,3,45
ANIL SEMIYA 200M,2,44
ALA 500ML,1,42
GAR COLOR BLK PK,1,42
COL SALT 20RS,2,40
GIL PRISTO,2,40
LUX INT,1,40
BUSH COLOR OR,1,40
SODA,4,40
BADAM SEEDS,0.05,39
RIN POWDER 10RS,4,38
GRAM FLOOR SOAP,1,38
FLACK SEEDS,0.25,37.5
INDICA COLOR 40R,1,37
CORN LOOSE,0.25,36.25
GIL GUARD,1,35
DABUR HONEY 20RS,2,34.78
K DEVAN 100GM,1,34
DOVE SHAMPO 2RS,16,32
COLGATE 10RS,3,30
MANGAL DEEP DOOP,2,30
EXO ROUND S,1,30
SUNRISE 10RS,3,30
AA TP 100GM,1,30
HOMELITE,3,30
TABLE SALT,2,30
CORN FLOOR 100GM,1,28
AA SP 50GM,1,25
EV K METHI,1,25
DRANEX 25,1,24
OMA 50GM,1,20
BUDS N,1,20
TEJU 10RS,2,20
PICKLE 20RS,1,20
CANDLE 5RS,4,20
SOUMF 50GM,1,20
LIFE BOY 10RS,2,20
ORAL BRESH 20RS,1,18
TASTING POWDAR,0.05,12.5
AA BIRIYANI 12RS,1,12
CHETA MBOX,1,10
CASEW JH 10RS,1,10
BRU 10RS,1,10
HING 10RS,1,10
,-----,-----------
SubTotal,9823.402,785947.04
,,
Discount                       -38.66,,
,,
Tax Details :,,
  GST Collected                 33.30,,
-------------------------------------,,
786019,,
-------------------------------------,,
