 SRI VIGNESHWARA RICE TRADERS,,
,,
Sales Summary  01/01/2023-31/01/2023,,
,,
Product Name,Qty.,Amount
SABEENA 500GM,28,304
COTHAS 100G,5,300
W THILL 100G,10,300
TIDE 10RS,30,300
COTHAS 500G,1,295
B L MAIDA 500GM,10,294
PISTA 200GM,1,290
SWA GARAM 200,5,290
PATTA,0.65,287.5
VIM TUB 60RS,5,286
EV CP 500GM,1,280
P CHUTE 100ML,8,280
RED LABEL 500G,1,275
ANIL SEMIYA 200M,12,275
MTR PULIOGARE 10,4,272
MTR T POW 100G,9,270
SANTOOR 10RS,27,268
SWA DP 500GM,2,260
SANDIGE 1KG,1.3,260
MUSTERD LOOSE,1.95,259
VIM 33RS,8,252
MTR RAVAIDLY 500,2,250
SH SP 100GM,5,242
MEERA SHAMPO 2RS,120,240
AVALAKKI (P),4,240
ASH CP 100,6,238
P CHUTE 200ML,3,236
BOOST 5RS,47,235
ARIEL 500GM,3,231
JEERA 50GM,9,226
DOMEX,3,220
SANTOOR 222RS,1,215
BOOST 200G,2,210
G LABLE 100G,6,210
MEAL MAKER,1.5,210
VASU BIG,6,210
JEERA 250G,2,210
FAIR N LOVELY 25,11,210
RED LABLE 10RS,21,210
3ROSES 250G,1,205
IG PULIOGARE,21,205
MTR BISIBELE 100,3,204
GRB JAMUN 1=1,1.5,202.5
B TILL 100,3,200
W TILL 250,3,200
ACT 10RS,20,200
BLACK STONE 50RS,4,200
MAGGI 12RS,14,198
GRB 100ML,2,192
AA TP 100GM,6,192
YALAKI,0.12,191.6
MTR G MASALA 50,4,190
HARPIC RED,2,190
COMFART 4RS,47,188
SOUMF SWEET,1.15,185.5
LIFEBOY 1=1,1,185
VIM LIQ 750ML,1,185
MUSTARD 250G,4,183
VIM TUB 30RS,6,180
FAIR LOVELY 80GM,1,180
KIS JAM 500,2,180
MTR SEMIYA 500G,4,178
AA CHIKEN 500GM,1,176
MTR VANGIBATH 10,15,176
COL VED OFFER 15,1,175
CLOSUP OFFER,1,175
HORLICKS 5RS,34,170
AA CHIKEN 10RS,17,170
HING 10RS,17,170
LEVISTA 2RS,85,170
COMFART 180ML,3,168
SURF XL 15RS,11,165
MIX 250GM,4,165
COL MAX OFFER,1,165
DETTOL SOAP B,3,163
ANIL SEMIYA 500G,3,161
GEMINI OIL 1LT,1,159
TATA GOLD 100,4,156
SUGAR CANDY,0.85,152.5
TATA PINK SALT,2,150
GRB DP 100GM,5,150
RIN POWDER 500GM,3,150
SUNRISE 2RS,74,148
SAMRAT SEKAI POW,1,145
ROCKSALT,8,144
RED LABEL 250G,1,140
TATA GOLD 250G,1,140
BARLY 100G,7,140
