 SRI VIGNESHWARA RICE TRADERS,,
,,
Sales Summary  01/12/2023-31/12/2023,,
,,
Product Name,Qty.,Amount
MTR RAVAIDLY 500,3,375
PEARS SET 230 RS,2,370
COL PASTE 200GM,3,366
B L IDLY RAVA,7,366
FORTUNE MUS OIL,2,365
DRY GRAPES 100GM,8,362
FORTUNE MUS OIL,4,360
MUSTERD LOOSE,3,360
ARIEL F 1P,2,360
GREEN PEAS,3,356
KLF 500ML,3,355
COL SALT 100,5,354
AA SP 100GM,7,352
JEERA 50GM,9,352
LUX 100GM,10,350
EV KASMIRI 100GM,3,348
COL MAX 100GM,5,346
MTR PULIOGARE 10,5,346
BALANCE,1,345
SABEENA 500GM,29,345
BALLAR,1.75,343.5
H&S SHAMPO 2RS,171,342
PALAV LEAF LOOSE,1.4,337.75
ANIL APLA,6,336
ASH SELECT 5KG,1,335
KIS JAM 500,2,334
COTHAS 200G,2,333
TETLEY G TEA,2,331
DOMEX,3,330
BOOST 200G,3,330
HAMAM SOAP,8,320
SURF EASY 500G,4,320
MTR SEMIYA 500G,7,317
SOYA CHUNKS 200G,6,315
FLACK SEEDS,2.25,311.25
PISTA 200GM,1,300
WALNET 200GM,1,300
BOOST 500G J,1,295
MY SANDEL S,7,290.5
SABEEA 1KG,10,290
ARIEL T 1P,2,290
EA DP 500GM,2,290
MTR SEMIYA 900G,4,290
HIMALAYA 200ML,2,280
BROOM K,6,280
CYCLE DOOPA 72,4,280
TAJ 100G,3,279
MTR PULIO 12RS,23,276
JAPATRE L,0.1,275
ULLAS 60RS,5,275
MTR BADAM POW 50,1,270
VIM LIQ 250ML,5,265
DETTOL SOAP B,4,260
VICCO CREAM,1,260
MTR HING 50G,3,256
METHI L,2,255
VVD OIL 500ML,2,255
CASTROIL 100ML,4,253
SWA RAVA IDLY 1=,2,250
BADAM SEEDS 100G,3,250
COTHAS 100G,4,248
MY SANDLE GOLD,3,247
P CHUTE 500ML,1,245
BOOST 500G,1,245
MTR BADAM POW 20,2,242
TATA PINK SALT,2,241
ANNAPURNA PINK S,2,240
FAIR N LOVELY 50,2,240
KARJURA 500GM,1,240
LG POWDER,3,240
MARRE GOLD 10RS,24,240
3ROSES NC 250G,1,235
P CHUTE JASMINE,1,235
MTR BISIBELE 100,3,234
CORN LOOSE,1.5,230.5
DALDA 1LR,2,230
T.STICKS,0.9,225
TIDE 500GM,3,225
PEPSDENT 100GM,4,224
RICE FLOOR,5,220
P CHUTE 300ML,2,220
P CHUTE 600ML,1,220
MTR SP 100G,3,220
WIPER,1,220
COL PASTE 50GM,11,220
MAGGI 4PACK,4,220
OREO 10RS,22,220
SANTOOR SOAP,4,218
APLA 70RS,4,218
SURF XL 1KG,1,215
LIZOL 500ML,2,214
AA GARAM 50GM,6,210
VANISH B,1,210
SHANTALA SMART,4,210
COL MAX OFFER,1,210
PATANJALI 100GM,3,208
APLA 30RS,7,206
LIZOL 1LR,1,205
SANTOOR 222RS,1,205
AA CHIKEN 100GM,4,205
GINGER GARLIC 5R,40,205
OMA 100GM,5,205
METHI 250GM,4,201
COCONUT BAGS,100,200
NOODLES PLAIN,5,200
SANTOOR SET 210R,1,195
GARLIC PASTE 200,3,195
DETOL LIQ 500ML,1,195
JEENI 500G,1,195
GINGER GARLIC,3,195
CLI SHAMPO 1RS,195,195
HIT S,2,192
COL BRUSH 20RS,10,190
GALA BROOM 210,1,190
TIDE LIQ FR,1,190
BAJAJ ALMOND B,1,190
AJAY HARD,9,190
VIM LIQ 750ML,1,190
PEARS BLUE,3,187
PUMKIN SEEDS,0.25,185
DRY GRAPES 250GM,2,185
MEDMIX B,4,184
LEVISTA 2RS,91,182
JAGARRY POWDER,3,180
SANI FRESH 1=1,1,180
MARRIE GOLD 40RS,5,180
ACT 10RS,18,180
AA CP 500GM,1,180
LIFE BOY HNDD,2,180
HIMALAYA SOAP,3,180
PARLE G 10RS,18,180
PITAMBARI 100G,4,180
G FLOUR,2,180
SUNPURE 500ML,3,180
SURF FR 1LR,1,180
AA BIRIYANI 50GM,5,179
ANIL SEMIYA 200M,8,177
YALAKI 10GM,5,176
MEDIMIX S,5,175
DOVE SHAMPO M,1,175
SONA BOILED,4,175
GODREJ AIR,3,174
NY THILL 100G,6,173
PANCHAMI OIL 1LB,1,170
CLOSE UP 100,3,165
COL VISIBLE,1,165
AA CP 100GM,4,164
MTR RASAM 100G,2,164
B L RAVA ROST,4,164
BOTI LOOSE,1.353,162.36
K DEVAN 250GM,2,162
K DEVAN 500GM,1,162
BROOM GALA,1,160
GARBAGE M,2,160
GONI,2,160
HOMELITE,16,160
DOMEX TOILET,6,158
BALLAR DAL,0.75,157.5
ARIEL 1 KG,1,157
MARGO SET,1,155
COL POWDER,3,154
SAIGO,1,152.5
MTR PAYASA 100GM,2,152
DETTOL SET,1,150
MEAL MAKER,1.2,150
PEPSDENT 2IN 1,3,150
TEJU 10RS,15,150
BROOM STEEL,1,150
PHENYLE BLACK,2,150
DOVE SHAMPO 2RS,75,150
SSP RED 5GM,1,148
RIN POWDER 10RS,15,146.5
MTR SP 200G,1,146
REXONA SET,1,145
LION DATES 500,1,145
TATA GOLD 250G,1,145
VIM 5RS,29,145
LIME SALT 500GM,1.3,141.5
ASWINI OIL 200ML,1,140
IND RAGI SPL,1,140
BROOM BLUE,1,140
DETTOL LIQ 200ML,1,137
ANIL RICE 500GM,2,136
PEPPER 50GM,3,136
PARRY JAGARY POW,3,136
CINTOL SOAP SET,3,135
NYLON SAIGO 500G,2,135
SUGAR CANDY,0.75,135
MY SANDLE B,2,132
DETTOL LIQ 100ML,2,130
SUN FLOWER SEEDS,0.25,130
BROOM RED,1,130
ANNAPURNA ATTA 1,2,130
KARJURA 250GM,1,130
SASHI 15RS,1,125
EV CHAT 50GM,3,124
BARLY 100G,5,120
FAIR N LOVELY 25,2,120
MARRE GOLD 1KG,1,120
SENSODENE 125,1,120
HIMALAYA SOAP 62,2,118
COMFART 450ML,1,116
NANDINI GHEE 200,1,115
SURF EXCEL SET,1,115
DETTOL SOAP S,3,114
HORLICKS BISCUT,2,114
BADAM SEEDS,0.15,112
MTR SEMIYA R 500,2,112
LIFE BOY REF 40R,3,111
CHIA SEEDS,1.25,110
AA PEPPER PO 50G,2,110
SWARNA CHAMPA 60,2,110
CAMPAR 150RS,1,110
B TILL 100,3,110
PICKLE 55RS,2,108
P CHUTE 100ML,3,108
TOMOTO SAUCE,1,107
PEARS SOAP B,2,106
G LABLE 100G,2,106
AA CHIKEN 50GM,4,106
LION DATES ARABI,1,105
KIS KETCUP,2,98
HIMALAYA SHAMPO,1,98
VASU BIG,3,95
STEEL SCRUB,7,95
VIP COLOR,2,94
LION DATES 250GM,1,90
PARRY BROWN SUGA,2,90
ALA 500ML,1,86
ALA 200ML,2,84
B L MAIDA 500GM,3,84
TASTING POWDAR,0.3,84
BRU 2RS,42,84
EV CHIKEN 100,1,82
KESAR KLLI,1,80
AA JEERA PO 50GM,2,80
GAR COLOR BLK PK,2,80
EXO 10RS,8,80
ORAL BRESH 20RS,4,79
PONDS WB,1,77
LIRIL SOAP,2,76
VIM LIQ 20RS,5,75
IG PILIOGARE 200,1,75
CAMPAR JAR,1,75
EVEREADY S,4,72
W THILL 100G,2,72
VIJAY AKKI TARI,1,70
SWA GARAM 200,1,70
SCBRITE 10RS,6,70
CAMPAR 50RS,2,70
BLECHING POWDER,3,69
MACRONI LOOSE,0.75,65
PHENYLE,1,65
RED LABELE NC 10,1,64
BLACK ROSE 12RS,5,60
MTR LIME 15RS,4,60
GOOD DAY 10RS,6,60
COL SALT 20RS,3,60
SCBRITE 15RS,4,60
CAMPAR 20RS,6,60
CYCLE 10RS,6,60
POWER SOAP,4,60
SODA,6,60
HIDE N SIKE,2,60
PICKLE 60RS,1,58
ANIL BROKEN WHEA,1,58
VIM TUB 60RS,1,57
J SOAP 55RS,1,56
AA MUTTON 100GM,1,55
EA SP 100,1,55
RAVA B,1,54
RIN POWDER 500GM,1,52
SOYA BEAN,0.5,50
MAGGI MASALA 5RS,10,50
BATHI,5,50
GOOD NIGHT OFFER,0.5,47.5
AA DP 100GM,1.5,47.5
CELL 16RS,3,45
U YELLU,0.25,45
MTR TOMOTO 15RS,3,45
CHOCO 5RS,9,45
HARPIC RED 200,1,42
SANTOOR 10RS,4,40
DOVE SOAP S,1,40
CYCLE 20RS,2,40
AA MUTTON 50GM,1,40
PALAV MIX 10RS,4,40
BUDS TULIP,1,40
LIZOL S,1,40
PEARS SOAP S,1,38
BLOCK SALT 1KG,0.1,37.5
SHANTALA 40RS,1,35
STAR KESAR,5,35
MTR SEMIYA 200GM,2,34
K DEVAN 100GM,1,34
MANGAL DEEP DOOP,2,32
MTR 10RS,3,30
BLACK JEERA,0.1,30
HING 10RS,3,30
ROCKSALT,2,30
AA RASAM 50GM,1,30
LAVANG 10GM,1,30
WHEEL SOAP 10RS,3,29.4
MY SANDEL DOOPA,1,28
MTR ROAST SEMIYA,1,26
DRANEX 25,1,24
GIL PRISTO,1,20
ACT 33RS,1,20
RED LABLE 10RS,2,20
RASNA POWDER,1,20
KUNKMA 10RS,2,20
MTR RASAM 10RS,2,20
OMA 50GM,1,20
SOUMF 50GM,1,20
INDICA 20RS,1,18
LAKSHMAN REKA,1,15
AA TP 50GM,1,14
CANDLE 5RS,2,10
FAIR N LOVELY 20,1,10
LAVANGA 10RS,1,10
ULLAS 110RS,1,10
,-----,-----------
SubTotal,8811.173,597847.02
,,
Discount                       -48.98,,
,,
,,
-------------------------------------,,
597896,,
-------------------------------------,,
