SRI VIGNESHWARA RICE TRADERS,,
,,
Sales Summary  01/05/2023-31/05/2023,,
,,
Product Name,Qty.,Amount
AA CP 500GM,2,335
P CHUTE 300ML,3,334
JAGGARY (H),5.1,333.5
PANCHAMI OIL 1LB,2,330
MTR CP 500G,2,330
RED RAW,5,325
COL PASTE 100GM,5,323
PISTA 200GM,1,320
MTR DP 500GM,2,310
H&S SHAMPO 2RS,155,310
MARGO SET,2,307
BROWN RICE,6,300
P CHUTE 200ML,4,300
RIN SOAP 10RS,30,295.2
WHEEL POWDER 500,8,295
KPL 500ML,2,290
PEPPER 50GM,6,288
MTR BISIBELE 200,2,284
MUSTARD 250G,5,280
COMFART 180ML,5,280
DAR FANTASY 40RS,7,280
BRU 200G,1,279.62
MTR VANGIBATH 10,23,276
HIDE N SIKE,9,270
GRB JAMUN 1=1,2,270
ARKA 500GM,3,270
MTR PULIOGARE 10,4,268
DRY GRAPES 100GM,6,265
HIMALAYA SOAP,5,260
DOVE SOAP,4,252
VIM 5RS,50,250
MTR DP 100G,8,246
CASHW 250GM,1,245
AMRUTHAM OIL 1LR,1,245
SURF XL 35RS,7,245
VIJAY RAGI FLOOR,5,244
LIZOL 500ML,3,244
MTR PULIO 12RS,20,240
GARBAGE M,3,240
SURF FR 1LR,1,240
BOOST 500G,1,240
COL PASTE 200GM,2,239
LONG BODY,6,238
FAIR N LOVELY 11,1,236
AA TP 500GM,2,235
COMFART 450ML,2,233
G LABLE 200G,3,231
W THILL 100G,6,228
POWER SOAP,23,226.4
3ROSES NC 250G,1,223.81
SAMRAT SEKAI POW,1.5,219
COL PASTE 50GM,11,217.5
MTR BISIBELE 10R,18,216
HORLICKS 500G,1,215
SURF XL TOP 1LR,1,215
CORN FLOUR,4,215
SAFOLA OATS 1KG,1,215
BOURN VITA 500G,1,214.29
EV KASMIRI 100GM,2,210
MASUR DALL,2,210
HARPIC 1LTR,1,210
BIOGAN BIG,1,210
MAP 300RS,1,210
HORLICKS 500 JUN,1,210
PARLE G 10RS,21,210
PEARS SOAP B,4,209
HARPIC RED 200,2,204
SUNRISE 50G JAR,2,200
PONDS M,2,200
ASH CP 100,4,199
NIVYA CREAM 100M,1,195
TOMOTO SAUCE,4,195
