SRI VIGNESHWARA RICE TRADERS,,
,,
Sales Summary  01/02/2023-28/02/2023,,
,,
Product Name,Qty.,Amount
MTR RASAM 200G,2,260
SOUMF 50GM,7,260
MY SANDL LIQ,2,250
BARLY 100G,11,245
ANNAS FLOWER,0.25,245
AMRUTHAM OIL 1LR,1,245
CHILLY (R),0.5,240
PEARS SET 340,1,240
B L MAIDA 500GM,8,240
GRB 50ML,5,240
DOSA RICE FINE,8,240
CORN FLOUR,4,240
URID BLK,2,240
ZEERA RICE FINE,2,235
RIN POWDER 10RS,24,228
P CHUTE 600ML,1,225
MTR SEMIYA 500G,5,225
COMFART 800ML,1,225
P CHUTE 300ML,2,224
PEPSDENT 200GM,4,222
METHI LOOSE,1.5,220
SURF XL 1KG,1,220
POWER SOAP,22,217.6
HORLICKS 500G,1,215
B DALL,1.25,212.5
DOMEX,1,210
FORTUNE MUS OIL,1,210
MTR PULIOGARE 10,3,204
SANDIGE 1KG,1,200
CAMPAR JAR,3,200
MEDMIX B,4,192
MTR PULIO 12RS,16,192
VIM 5RS,38,190
RIN POWDER 1,2,190
HORLICKS 5RS,38,187.2
CLOSUP OFFER,1,185
MUSTARD 250G,4,183
GRB DP 100GM,6,182
MOP 220RS,1,180
COL MAX OFFER,1,180
AA TP 100GM,6,180
BUSH COLOR OR,6,180
IG PULIOGARE,18,180
AA DP 100GM,6,180
CASHEW FULL,0.2,175
VASU BIG,5,175
JMR RICE,3,174
MTR 10RS,17,170
MTR VANGIBATH 10,14,168
COMFART 180ML,3,168
TIDE 10RS,17,167
WHEEL POWDER 500,4.5,166.5
SENSODENE PASTE,1,165
AA CHIKEN 500GM,1,165
ASH GHEE 200ML J,1,160
GONI,2,160
RIN BIG BAR,6,159
ARASAN SOAP 250G,6,156
RIN LIQUED,1,155
VIM 33RS,5,151.5
BROWN RICE,3,150
BLACK STONE 50RS,3,150
YALAKI 10RS,15,150
FORTUNE OIL,1,148
AA SP 100GM,3,145
BOOST 5RS,29,145
MALGUDI 50RS,3,141
COLIN 200ML,1,140
CORA BATE,2,140
P CHUTE 100ML,4,140
LIFE BOY SOAP,4,140
COL PASTE 50GM,7,140
MTR VANGIBATH 10,2,136
GRB JAMUN 1=1,1,135
SURF XL 15RS,9,135
COL BRUSH 20RS,7,132
PALAV MIX 10RS,13,130
M MOGGU,0.1,130
B TILL 100,3,130
RED LABELE NC 10,2,128
MEERA SHAMPO 2RS,64,128
MAGGI 12RS,9,126
DABUR HONEY 100G,2,124
SENSODEBE BRUSH,4,123
ANNAPURNA ATTA 1,2,120
MARRE GOLD 1KG,1,120
COTHAS 200G,1,120
ASH CP 100,3,120
COTHAS 100G,2,120
VIM LIQ 20RS,6,117
GRB CP 100GM,3,114
COMFART 450ML,1,110
MOTTU,1,110
DABUR HONEY 250G,1,110
HAMAM SOAP,3,108.5
BOOST 200G,1,108
COL MAX 100GM,2,107
BASMATHI PUALO,1,105
JAGARY S,1.5,105
CLOSE UP 100,2,104
SUNRISE 2RS,52,104
AA JEERA PO 50GM,4,103
MTR CP 100GM,2,101
U YELLU,0.5,100
BLACK STONE 125R,1,100
LEVISTA 2RS,50,100
GRB TP 500G,1,100
RICE FLOOR,2.5,100
BLECHING POWDER,5,92
COMFART 4RS,23,92
T.STICKS,0.45,90
CHETA MBOX,9,90
ARKA,1,90
VIM TUB 30RS,3,90
ACT 10RS,9,90
LAVANGA 10RS,9,90
MANGAL DEEP DOOP,6,86
3ROSES 100G,1,83
KARJURA,0.2,80
DABUR HONEY 50G,2,80
ORAL BRESH 20RS,4,80
AA CHIKEN 10RS,8,80
NAVANE,1,80
MALGUDI 40RS,2,78
K.DEVAN 250GM,1,77
STEEL SCRUB,7,73
MTR BISIBELE 10R,6,72
MTR RASAM 100G,1,70
TEJU BADAM 1=1,1,70
SODA,7,70
G LABLE 100G,2,70
MY SANDLE B,1,66
CYCLE DOOPA 72,1,65
BRU 2RS,32,64
DOVE SOAP,1,63
YALAKI POWDER,4,63
K.DEVAN 100GM,2,62
MTR GARAM 10RS,6,60
NY THILL 100G,2,60
PATANJALI 50GM,6,60
PICKLE 20RS,3,60
FAIR N LOVELY 25,1,60
RAGI FLOUR,1.5,60
NYLON SAIGO 500G,1,60
MTR BIRIYANI 10R,5,60
SUNDROP CHOCAS,1,58
RAVA B PKT,1,58
VIM TUB 60RS,1,58
PALAV LEAF LOOSE,0.2,56
OATS 25RS,1,55
PHENYLE BLACK,1,55
ASH SEMIYA R,1,55
VIM LIQ 250ML,1,53
DETTOL SOAP B,1,53
MTR SEMIYA 200GM,3,51
SUGAR CANDY,0.25,50
HING 10RS,5,50
MTR PALAV 10RS,5,50
SH SP 100GM,1,48
DHANIYA FINE,0.25,45
RIN 5 RS,9,45
PITAMBARI 100G,1,42
CAMPAR 50RS,1,40
KASTURI METHI 10,1,40
KIS JAM 20RS,2,40
DABUR PASTE 20RS,2,40
MACRONI LOOSE,0.5,40
GINGER GARLIC 5R,8,40
HOMELITE,4,40
M MOGGU 10RS,4,39.2
ROCKSALT,2,36
SSP 1G,2,36
MEAL MAKER,0.25,35
SCBRITE 10RS,2,35
DOVE SOAP S,1,35
MEDIMIX S,1,31
EV CHAT 50GM,1,30
AA GARAM 50GM,1,30
MTR T POW 100G,1,30
MTR LIME 15RS,2,30
CYCLE 10RS,3,30
OMA 100GM,1,30
MTR SP 10RS,3,30
TATA PINK SALT,1,30
FAIR N LOVELY 20,3,30
MTR TP 10RS,3,30
SOYA BEAN,0.25,30
RED LABLE 10RS,3,30
SANTOOR 10RS,3,30
SWA 10RS,3,30
DALDA 200ML,1,30
YALAKI POWDER B,1,28
AVALAKKI (M),0.5,25
AA SP 50GM,1,23
MTR RASAM 10RS,2,20
MUSTRED BIG,1,20
AA SP 10RS,2,20
CASEW JH 10RS,2,20
SUN SILK 1RS,20,20
PATTA 10RS,2,20
LIFE BOY 10RS,2,20
S N N 10RS,2,20
DRY GRAPES 10RS,2,20
CHILLY SAUCE,1,20
KARTHIKA 1RS,18,18
TATA ROCK SALT,1,17
ORAL B KIDS,1,14
AA BIRIYANI 12RS,1,12
TEJU 10RS,1,10
ENO 9RS,1,10
EXO 10RS,1,10
GRB 10RS,1,10
SURF LIQ 10RS,1,10
MAGGI MASALA 5RS,1,5
EV 10RS,0.5,5
,-----,-----------
SubTotal,9102.01,557950.69
,,
Discount                       -36.31,,
,,
,,
-------------------------------------,,
557987,,
-------------------------------------,,
