product_name,quantity,amount
CYCLE DOOPA 72,4,280
DRY GRAPES 250GM,3,280
HIMALAYA SHAMPO,1,275
BROWN RICE,4.5,270
FOGG SPRAY,1,265
MTR T POW 100G,8.5,261
WHEEL POWDER 500,7,260
VIM SET 130,2,252
PHENYLE,4,250
P CHUTE 600ML,1,245
SURF XL FR 1KG,1,245
SURF XL TOP 1,1,245
COL PASTE 200GM,2,244
P CHUTE 300ML,2,244
VIJAY RICE FLOOR,5,244
PEARS SET 340,1,242
DETTOL SOAP S,6,242
GRAM FLOOR SOAP,6,240
COTHAS 200G,2,240
H&S SHAMPO 2RS,120,240
MUSTARD 250G,4,238
3ROSES NC 250G,1,236
DABUR PASTE 200G,2,236
COMFART 180ML,4,231
WAIPER 120RS,2,230
OREO 10RS,18,226
PICKEL 1KG,2,225
BARLY 100G,9,220
BOOST 200G,2,220
HORLICKS 500G,1,215
ARIEL TP 1KG,1,210
EVEREADY S,13,210
HIT S,1,205
MTR VANGIBATH 10,3,204
MY SANDLE B,3,200.5
GIL PRISTO,10,200
DOMEX TOILET,2,196
KARJURA 500GM,1,190
SABEENA 500GM,19,190
DOVE SOAP,3,189
CELL 16RS,12,187
LIFE BOY HNDD,2,184
MEDIMIX S,6,183
FAIR N LOVELY 25,3,182
SAIGO,1.5,181.25
SAFOLA GREEN,1,180
AJAY HARD,9,180
TEJU 10RS,18,180
VASU BIG,5,178
BLECHING POWDER,9,176
BROOM DOUBLE,1,175
P CHUTE 100ML,5,175
G LABLE 100G,5,175
NAPTHALE BALLS,5,175
OMA 100GM,4,175
DOVE COND,2,175
COLGATE CHARCOL,1,170
PATTA,0.3,170
SURF 10RS,17,170
L G PKT,3,170
CASTROIL 200ML,2,170
ACT 10RS,17,170
MADHUR SUGAR,3,168
MR MUSEL,1,167
MTR PULIO 12RS,14,167
METHI 250GM,3,165
MASUR DALL,1.5,165
JEERA LOOSE,0.25,165
SOYA CHUNKS 200G,3,165
ODONIL ROOM SPRA,1,165
YIPPEE 45RS,3,165
JEERA 50GM,4,165
SOUMF 100GM,4,164
SAFOLA GOLD,1,160
VOM GN,1,156
MARGO SET,1,155
AA DP 500GM,1,155
SURF EASY 500G,2,152
SANTOOR 10RS,15,150
VIM 5RS,29,145
DETTOL SET,1,145
B L AVALAKI,4,144
VIM LIQ 20RS,9,144
MTR VANGIBATH 10,12,143
MTR BISIBELE 200,1,142
CHANDRIKA SET,1,140
COL SALT 100,2,140
VVD OIL 500ML,1,140
ENO 10RS,14,140
MTR CP 100GM,3,140
AA JEERA PO 50GM,5,140
TEJU 500GM,1,140
REXONA SOAP,4,136
SENSODENE 140,1,135
ANIL SEMIYA 200M,6,132
GARBAGE M,2,130
SSP 5GM GREEN,1,130
GRB JAMUN 1=1,1,130
Z POWDER,1,130
BRU 10RS,13,130
RED LABELE NC 10,2,128
ROCKSALT,7,128
MARRE GOLD 1KG,1,125
IND RAGI SPL,1,125
MTR DP 100G,4,125
SURF EXCEL SET,1,120
COL MAX OFFER,1,120
PEARS BLUE,2,120
GRB DP 100GM,4,120
MTR BADAM POW 20,1,120
DET REF,3,118
ANIL BROKEN WHEA,2,116
CLI SHAMPO 1RS,116,116
KASTURI METHI 10,3,116
MONACO BIS,1,115
ASH CP 100,3,115
SUNRISE 50G,1,113
KARTIKA SHAMPO,1,112
CAMPAR 150RS,1,110
PHENYLE BLACK,2,110
CM COFFE 250GM,1,110
DOMEX,1,110
FORTUNE MUS OIL,1,110
GOOD DAY 10RS,11,110
MAGGI 4PACK,2,110
WHEEL SOAP 10RS,11,108.6
STEEL SCRUB,9,108
DHEPAM OIL 500ML,1,105
EV KASMIRI 100GM,1,105
PEPSDENT 2IN 1,2,100
ODONIL,2,100
BLACK STONE 55RS,2,100
MTR CP 500G,0.5,100
GRB 50ML,1,100
VIJAY IDLY RAVA,2,98
POWER SOAP,10,98
GRB 100ML,1,96
TOPRAMEN CURRY,1,95
CAMPAR 50RS,3,95
KARJURA 250GM,1,95
AA CHIKEN 100GM,2,95
PARRY BROWN SUGA,2,94
LION DATES 250GM,1,94
3ROSES NC 100G,1,93.33
BAMBINO 500GM,2,92
TAJ 100G,1,92
EXO ROUND S,3,90
AA GARAM 50GM,3,90
DRY GRAPES L,0.25,90
LG POWDER,1,85
PANCHAMI 500MLB,1,85
AA MUTTON 100GM,1,85
LONG BODY,2,84
SUNRISE 2RS,42,84
CYCLE 20RS,4,80
GAR COLOR BLK PK,2,80
MARRE GOLD 22RS,4,80
QUKER OATS 400GM,1,76
MACRONI LOOSE,0.95,76
MTR JEERA POW 50,2,76
ROBIN CUPS,1,75
CASTROIL 100ML,1,75
HIMALAYA FACE WA,1,75
K DEVAN 250GM,1,75
MTR BISIBELE 100,1,73
HAMSA RICE,2,72
MAGGI SAUCE 200,1,70
TEU CHIKEN 250,1,70
TEJU MUTTON 250,1,70
RED LINE,1,70
PALAV MIX 10RS,7,70
SUNPURE 500ML,1,70
HOMELITE,7,70
PARLE G 10RS,7,70
CAMPAR 20RS,7,70
EA TP 250,1,70
IG PULIOGARE,7,70
DABUR HONEY 100G,1,65
MTR SP 100G,1,65
K DEVAN 100GM,2,65
BAJAJ ALMOND,1,65
ANNAPURNA COFFE,1,60
COTHAS 100G,1,60
COL BRUSH 20RS,3,60
DETTOL LIQ 100ML,1,60
ANIL RAGI 500GM,1,60
PICKLE 20RS,3,60
SODA,6,60
EV TIKALAL 100,1,58
APLA 30RS,2,56
MTR SEMIYA R 500,1,55
SH SP 100GM,1,52
CLOSE UP 100,1,52
PONDS CREAM,1,50
RASNA POWDER,1,50
RED BOILED,1,50
BASMATHI PUALO,0.5,50
DOVE SHAMPO 2RS,25,50
AA TP 100GM,2,50
STAR KESAR,5,50
AA CHIKEN 50GM,2,50
SAFOLA OATS 16RS,3,48
PICKLE 50RS,1,48
PEPPER 50GM,1,48
COMFART 4RS,12,48
VASU 20RS,1,48
AA SP 50GM,2,48
VIJAY AKKI TARI,1,45
SAIGO 100GM,2,43
CASHEW JH,0.05,42.5
PITAMBARI 100G,1,42
WHISPER 36RS,1,40
KIS JAM 20RS,2,40
CAMPAR 100RS,1,40
EXO 10RS,4,40
TATA GOLD 100,1,39
CORN LOOSE,0.25,36.25
AKAR ROCK SALT,2,36
AA CP 100GM,1,35
CINTOL SOAP SET,1,35
PATANJALI SOAP,1,35
YALAKI 10GM,2,35
AA BIRIYANI 50GM,1,35
SOYA BEAN,0.25,30
AA DP 100GM,1,30
GINGER GARLIC 5R,6,30
RED LABLE 10RS,3,30
BOOST 5RS,6,30
SCBRITE 10RS,3,30
CYCLE 10RS,3,30
CHETA MBOX,3,30
WHISPER,1,30
PASTA 25RS,1,28
EV K METHI,1,27
UJALA S,1,25
RAGI FLOUR,0.5,25
FAIR N LOVELY 20,1,20
OMA 50GM,1,20
PATTA 10RS,2,20
SOUMP 50G,2,20
BRU 2RS,10,20
LAKSHMAN REKA,1,20
CASEW JH 10RS,2,20
MTR 10RS,2,20
PALAV LEAF LOOSE,0.045,19
KIS KETCUP,1,15
JOLA,0.25,12.5
JEERA 10RS,1,10
LIFE BOY 10RS,1,10
LAVANGA 10RS,1,10
DETOL LIQ 500ML,-1,-120
SubTotal,8123.655,631039.74
