product_name,quantity,amount
DRY GRAPES 100GM,6,273
COTHAS 200G,2,270
FORTUNE MUS OIL,3,270
COL BRUSH 20RS,13,269
CLI SHAMPO 1RS,268,268
GREEN PEAS,2.25,267.5
B L MAIDA 500GM,10,266
WHEEL POWDER 500,7,264
MTR DP 100G,8.5,264
MTR PULIOGARE 20,2,260
MARRE GOLD 1KG,2,260
SENSODENE 135RS,2,260
PONDS M,2,260
BADAM SEEDS 100G,3,253
BLACK STONE 55RS,5,252
L G POWDER 50GM,3,250
PEARS BLUE,4,246
JAGARY BUCKET,3,245
P CHUTE 600ML,1,245
LIME SALT 500GM,1.5,242.5
OLEEV B 1LIT,1,240
BROOM RED,2,240
KARJURA 500GM,1,240
PEPPER 50GM,5,240
SHANTALA 40RS,7,240
MTR VANGIBATH 10,3,234
AA JEERA PO 50GM,6,233
COMFART 450ML,2,232
KLF 500ML,2,230
PARLE G 10RS,23,230
AA CHIKEN 100GM,4.5,229.5
COMFART 180ML,4,224
WIPER,1,220
P CHUTE 300ML,2,220
BOOST 200G,2,220
MTR SEMIYA R 500,4,220
SURF XL 1KG,1,215
COTHAS 100G,2,212
VIM LIQ 250ML,4,212
AA GARAM 50GM,6,211
W THILL 100G,6,211
VANISH B,1,210
SANTOOR 222RS,1,210
ARIEL TOP 1L,1,210
EV CHIKEN 100,3,210
DOVE COND,1,205
DRY GRAPES L,0.5,200
DOMEX TOILET,2,200
G LABLE 500G,1,195
JEENI 500G,1,195
MEDMIX B,4,194
EV CHAT 50GM,5,193
TATA GOLD 100,4,192
POWER SOAP,13,190
LIFEBOY 1=1,1,190
DOVE SOAP,3,189
MEDIMEX SET,2,189
MTR CP 500G,1,185
DOVE SHAMPO 2RS,86,184
DHEPAM OIL 500ML,2,182
BROWN RICE,3,180
MOP 240,1,180
PANTEEN 200ML,1,176
PRAKASH TEA 500,1,175
GODREJ AIR,1,175
AA CP 100GM,4,171
HARPIC 1LTR,1,170
ALA 500ML,2,170
ARIEL F 1P,1,170
AA PEPPER PO 50G,3,170
SUGAR CANDY,0.9,164
PANCHAMI OIL 1LB,1,160
RIN POWDER 500GM,3,159
WHEEL SOAP 10RS,16,156.8
ODONIL ROOM SPRA,1,155
BROOM BLUE,1,155
HIMALAYA L,1,155
URID BLK,1,154
ALL CLEAR 200ML,1,152
P CHUTE JASMINE,1,150
SHANTALA SMART,3,150
BROOM GALA,1,150
NUTS 40RS,1,150
BRU 2RS,74,148
M CHILAKA,1,148
SURF TP 1LR,1,145
TATA GOLD 250G,1,142
ASWINI OIL 200ML,1,140
COL PASTE 200GM,1,140
TEJU 500GM,1,140
KARJURA 250GM,1,140
PHENYLE BLACK,2,140
TEJU CHIKEN 250,2,140
JAGGARY (H),4.93,139.55
GRB JAMUN 1=1,1,135
AASHIRVAD SALT,5,135
P CHUTE 100ML,4.5,132
DETTOL SOAP B,2,130
CAMPOPR 70RS,2,130
PONDS SANDLE,1,130
HOMELITE,13,130
ANNAPURNA ATTA 1,2,130
COL HERBAL 200,1,127
STEEL SCRUB,10,127
RIN LIQUED,1,125
SURF TP 500,1,125
DRANEX 25,5,124
LIFE BOY HNDD,1,120
PEPSDENT 100GM,2,120
BROOM K,2,120
DABUR HONEY 250G,1,120
CAMPAR 20RS,12,120
BLACK STONE 125R,1,120
DAR FANTASY 40RS,3,120
TATA PINK SALT,1,115
GINGER GARLIC 5R,23,115
MUSTARD 250G,2,115
G FLOUR,1.25,112.5
PATANJALI 100GM,1,112
GAR COLOR BLK PK,3,112
LION DATES 250GM,1,110
MAGGI 4PACK,2,110
ANIL BROKEN WHEA,2,110
SURF XL 500GM,1,107
CLOSUP OFER 160R,1,105
PONDS D,1,105
YIPPE NOODLES 8P,1,105
GARLIC PASTE 200,2,105
LION DATES ARABI,1,105
KIS KETCUP,1,104
ORAL BRESH 20RS,5,101
KASTURI METHI 10,2,100
