product_name,quantity,amount
P CHUTE 300ML,3,330
DOVE SHAMPO M,1,325
GONI,4,320
COTHAS 100G,5,320
JEERA 50GM,8,316
HORLICKS WOMEN 5,1,315
TOMOTO SAUCE,5,308
RIN POWDER 1,3,308
BLACK STONE 55RS,6,302
PLATES 100PES,2,300
WATER GLASS,4,300
TATA GOLD 250G,2,292
MAZA APALA,6,285
HIMALAY B SHAMPO,1,285
JAGARRY POWDER,4,285
GARBAGE M,4,280
MTR SEMIYA 900G,4,280
MTR PULIO 12RS,23,276
B L AVALAKI M,7,276
ULLAS 60RS,5,275
SENSODENE 135RS,2,274
COTHAS 200G,2,270
ALA 500ML,3,270
SANDIGE 1KG,1.45,266
MARRE GOLD 1KG,2,260
MAP 300RS,1,260
W TILL 250,4,260
YALAKI 10GM,8,255
JAKKAI,0.3,254
DOVE SET B,1,248
BABY CASHW,0.5,245
DOVE SOAP S,6,244
MTR SP 100G,3,241
BROOM K,4,240
FAIR N LOVELY 25,4,240
MY SANDEL SET,1,235
DOVE COND,1,235
P CHUTE 500ML,1,235
MTR VANGIBATH 10,3,234
PARRY BROWN SUGA,5,234
TAJ 250G,1,232
LIRIL SOAP,1,230
BLACK STONE 125R,2,230
HORLICKS 500G,1,225
EMAMI OIL,2,223
BOOST 200G,2,220
AA CP 100GM,5.5,218
MTR VANGIBATH 10,18,216
DETTOL 1L,1,215
SOYA CHUNKS 200G,4,215
SURF XL 1KG,1,215
SUNRISE 100G,1,213
TATA PINK SALT,2,211
SANTOOR 222RS,1,210
RED LINE,3,210
SURF 10RS,21,210
MIX 100GM,13,210
HARPIC RED 500ML,2,208
PITAMBARI 100G,4,207
BADAM SEEDS 250G,1,200
SOUMF 100GM,4,200
GOOD NIGHT OFFER,2,200
DAR FANTASY 40RS,5,200
H N S SHAMPO 200,1,200
G FLOUR,2,196
APLA MASALA 70RS,3,195
BROWN RICE,3,195
HAMAM SOAP,3,195
MY SANDEL BAR,1,194
MTR GARAM 50GM,2,190
MTR PALO MASALA,2,186
TAJ 100G,2,186
AA CP 500GM,1,185
CLI SHAMPO 1RS,183,183
H&S SHAMPO 2RS,91,182
GINGER GARLIC,2,180
FORTUNE MUS OIL,2,180
PP,1.8,180
AA GARAM 50GM,5,174
BOTI LOOSE,1.3,171
HARPIC 1LTR,1,170
PALAV MIX 10RS,17,170
PARLE G 10RS,17,170
AJAY HARD,8,170
OREO 10RS,17,170
CORN FLOUR,3,168
RED LEBAL 200GM,1,165.94
MR MUSEL,1,165
T.STICKS,1.45,160.5
DARK FANTASY 170,1,160
PISTA 200GM,0.5,160
COL PASTE 50GM,8,160
ACT 10RS,16,160
VIM LIQ 250ML,3,159
BALLAR DAL,0.75,157.5
MTR BISIBELE 100,2,156
MARGO SET,1,155
SABEENA 500GM,15,155
K DEVAN 500GM,1,154
GOOD KNGHT LIQUI,2,153
ALL CLEAR 200ML,1,152
MTR TOMOTO 15RS,10,150
AA CHIKEN 100GM,3,150
PICKEL 1KG,1,145
PHENYLE BLACK,2,145
ANIL SEMIYA 200M,6,144
BALLAR,0.75,143.75
PEPPER 50GM,3,143
IND RAGI,2,142
CUPS,2,140
TEJU CHIKEN 250,2,140
CYCLE DOOPA 72,2,140
MEAL MAKER,1,140
MARGO SOAP,4,140
METHI 250GM,3,139
NANDINI GHEE 200,1,136
K DEVAN 100GM,4,136
INDIA GATE DUBAR,1,136
HOMELITE,14,136
DETTOL LIQ 200ML,1,135
CAMPAR 150RS,1,135
MTR SEMIYA 500G,3,135
BRU 2RS,70,130.4
ANIL RAGI 500GM,2,128
EA JEERA POWDER,1,128
MTR BADAM POW 20,1,125
VIM SET 130,1,125
SURF 500 LQ,1,125
VIM LIQ 500ML,1,122
HIMALAYA SOAP 62,2,120
BROOM RED,1,120
KLF 500ML,1,120
FAIR N LOVELY 50,1,120
BARLY 100G,6,120
VIM LIQ 20RS,8,120
B BANSI RAVA,2,116
EVEREDAY B,3,115
ANIL APLA,2,113
ICE CREAM CUP,2,110
DOMEX,1,110
SODLU,2,110
MAGGI 4PACK,2,110
PEPSDENT 2IN 1,2,110
MAGGI 8PACK,1,110
HORLICKS 200G,1,110
AA PEPPER PO 50G,2,110
SURF XL 500GM,1,107
EV KASMIRI 100GM,1,106
TISSUS,3,105
PONDS D,1,105
RIN POWDER 500GM,2,104
CLOTHS,4,100
FLACK SEEDS,0.75,100
DRANEX 25,4,100
POWER SOAP,10,100
MEDIMIX S,3,93
BLECHING POWDER,4,92
LIFE BOY HNDD,1,92
PISTA PLAIN,0.04,90
LION DATES 250GM,1,90
LIME SALT 500GM,1,90
L G PKT,1,90
DHEPAM OIL 500ML,1,90
SASHI 15RS,6,90
CHOCO 5RS,18,90
PEPSDENT 200GM,1,88
3ROSES 100G,1,88
MY SANDLE GOLD,1,87
EV CHIKEN 100,1,85
LAVANG 10GM,4,85
SENSODENE 125,1,85
MTR HING 50G,1,85
K DEVAN 250GM,1,82
MANGAL DEEP DOOP,5,81
IDLY CLOTHS,2,80
SPONS  100PES,1,80
AA JEERA PO 50GM,2,80
LG POWDER,1,80
DOVE SHAMPO 2RS,40,80
TASTING POWDAR,0.3,80
MTR 10RS,8,80
BADAM SEEDS,0.1,76.25
AA BIRIYANI 50GM,2,76
DETTOL SOAP S,2,76
NYLON SAIGO 500G,1,75
EV CHAT 50GM,2,74
COL VED OFFER 15,1,72
P CHUTE 100ML,2,72
TEJU MUTTON 250,1,70
COL MAX 100GM,1,70
NAPTHALE BALLS,2,70
B TILL 100,2,70
HIDE N SIKE,3,70
DABUR PASTE 100G,1,68
LEVISTA 2RS,33,66
DABUR HONEY 100G,1,65
MESWAK 100GM,1,65
GARLIC PASTE 200,1,65
MACRONI LOOSE,0.75,65
RED LABELE NC 10,1,64
JAPATRE L,0.03,63
PEARS BLUE,1,62
DALDA 1LR,0.5,60
SAIGO,0.5,60
VIM 5RS,12,60
AA RASAM 50GM,2,60
GRB 10RS,6,60
RED RAW,1,59
B L BANSI RAVA,2,58
ANIL BROKEN WHEA,1,58
BLACK ROSE 12RS,5,57.5
HORLICKS BISCUT,1,57
BROKEN WHEAT,1,56
B L RAVA ROST,1,56
APLA MADURAI,1,55
TEA GLASS,1,55
KIS KETCUP,1,55
MTR SEMIYA R 500,1,55
EA SP 100,1,54
SHANTALA SMART,1,50
COFFE GLASS,1,50
CYCLE 20RS,2,50
AA SP 100GM,1,50
RASNA POWDER,1,50
ODONIL,1,50
BATHI,5,50
MANGALDEEP 50RS,1,48
NOODLES PLAIN,1,45
CAMPAR 50RS,1,45
SOUMF 50GM,2,45
OMA 100GM,1,45
SCBRITE 15RS,3,45
ALA 200ML,1,42
LIZOL S,1,40
GAR COLOR BLK PK,1,40
MARRIE GOLD 40RS,1,40
BUDS TULIP,1,40
DABUR PASTE 20RS,2,40
STAY FREE 35RS,1,40
OMA 50GM,2,40
SCBRITE 35RS,2,40
WHEEL SOAP 10RS,4,39.2
LIFE BOY REF 40R,1,38
SOUMP 50G,2,38
INDICA 20RS,2,38
LOBA [W],0.25,36.25
MTR BIRIYANI 10R,3,36
KASTURI METHI 10,1,35
VASU BIG,1,35
SHANTALA 40RS,1,35
PALAV LEAF LOOSE,0.1,34.5
EVEREADY S,2,34
STAR KESAR,4,31
OATS 15RS,2,30
GOOD DAY 25RS,1,30
CASEW JH 10RS,3,30
RED LABLE 10RS,3,30
GREEN PEAS,0.25,30
SODA,3,30
SUN SILK 1RS,30,30
SCBRITE 10RS,3,30
TEJU 10RS,3,30
APLA 30RS,1,30
MY SANDEL DOOPA,1,28
PITAMBARI S,1,28
CORN FLOOR 100GM,1,28
AA CHIKEN 50GM,1,27
STEEL SCRUB,2,26
MTR BISIBELE 10R,2,24
KARJURA 500GM,0.1,24
NEWS PAPER,0.25,20
LIFE BOY 10RS,2,20
BUDS N,1,20
PATTA 10RS,2,20
GINGER GARLIC 5R,4,20
CHETA MBOX,2,20
BRU 10RS,2,20
AA SP 10RS,2,20
CAMPAR 20RS,2,20
AJAY M,1,19
SUGAR CANDY,0.1,18
MTR SEMIYA 200GM,1,18
RIN 5 RS,2,10
CYCLE 10RS,1,10
MEERA SHAMPO 2RS,5,10
TIDE 10RS,1,10
EXO 10RS,1,10
SubTotal,9215.036,617585.05
