product_name,quantity,amount
ANNAPURNA ATTA 1,5,325
AA CHIKEN 100GM,6.5,325
RIN SOAP 10RS,33,324.2
HMT SONA,5,320
SURF EASY 1KG,2,320
PARLE G 10RS,32,320
MTR CP 100GM,7,318
JAGGARY (H),5.29,317.4
COL BRUSH 20RS,16,315
K DEVAN 500GM,2,308
MTR PULIO 12RS,25,300
JAGARRY POWDER,4,295
RED RAW,4.5,292.5
ARIEL T 1P,2,290
MTR SP 200G,2,290
FORTUNE RC,2,288
AA PEPPER PO 50G,5,285
CLOSUP OFFER,2,285
HIMALAYA 200ML,2,285
KARJURA 250GM,2,280
W TILL LOOSE,1,280
TEJU CHIKEN 250,4,280
AA GARAM 50GM,8,275
MTR PULIOGARE 10,4,272
B TILL 100,8,271
MTR VANGIBATH 20,2,270
SABEENA 500GM,18,270
3ROSES 100G,3,265
COL MAX 100GM,4,264
EA DP 500GM,2,260
COL PASTE 50GM,13,260
DHEPAM OIL 500ML,3,258
BLACK STONE 55RS,5,255
L G PKT,3,255
AA TP 100GM,8,252.5
TATA AVALAKI P,5,252
MY SANDEL S,6,247.5
COL PASTE 200GM,2,244
TASTING POWDAR,0.85,243.5
BABY CASHW,0.5,242.5
GREEN PEAS,1.85,240.75
MTR BADAM POW 20,2,240
MARRE GOLD 1KG,2,240
DETTOL SET 199,1,235
MTR VANGIBATH 10,3,234
INDULEKA SHAMPO,1,230
MTR VANGIBATH 10,19,228
MUSTARD 250G,4,226
GOOD KNGHT LIQUI,3,225
HIT S,1,220
JEENI WOMENS,1,220
WHITE PEPER PWR,1,220
P CHUTE 600ML,1,220
MAGGI 8PACK,2,220
LIZOL 500ML,2,214
SURF XL 500GM,2,214
SUNRISE 100G,1,213
HIDE N SICK 60RS,3,210
CYCLE DOOPA 72,3,210
LIFE BOY 36RS,6,210
PALAV LEAF LOOSE,0.5,205.5
P CHUTE 500ML,1,205
AA CP 100GM,5,204
SANTOOR SET 210R,1,200
PHENYLE BLACK,3,200
BRU 2RS,100,200
CASHEW JH,0.225,198.5
JEENI 500G,1,195
MTR JEERA POW 50,2,190
DRY GRAPES 250GM,2,190
BAJAJ ALMOND B,1,190
JOLA,3.25,190
PICKLE 50RS,4,190
SWA RAVA IDLY 1=,1.5,187.5
WHEEL SOAP 10RS,19,186.2
DABUR PASTE OFFE,1,185
MY SANDLE GOLD,2,174
HARPIC 1LTR,1,170
ARIEL F 1P,1,170
WHISPER 88RS,2,170
MR MUSEL,1,165
GRB 200ML,1,165
MAGGI 4PACK,3,165
MTR SEMIYA R 500,3,165
MTR RASAM 100G,2,164
MTR DP 500GM,1,160
SURF EASY 500G,2,160
RAJMOUDI RICE,2,160
JEERA 50GM,4,160
SURF 10RS,16,160
YALAKI 10GM,7,160
PEARS SOAP B,3,159
AA DP 100GM,5,157.5
J SHAMPO M,1,157
MTR BISIBELE 100,2,156
MEDIMIX S,5,155
P CHUTE JASMINE,1,155
VIP COLOR,3,150
DARK FANTASY 170,1,150
VIM 5RS,30,150
SCBRITE 15RS,10,150
CASTROIL 100ML,2,150
AA SP 100GM,3,148
NOODLES PLAIN,3,145
COL HERBAL 100,2,144
PARRY BROWN SUGA,3,143
ASWINI OIL 200ML,1,142
RAGI,3.1,140.25
LIZOL 1LR,1,140
PALAV MIX 10RS,14,140
AA SP 50GM,6,140
STEEL SCRUB,11,140
TEJU 500GM,1,140
LUX BIG,2,136
GINGER GARLIC,2,135
MY SANDLE B,2,133
H&S SHAMPO 2RS,66,132
CASTROIL 200ML,1,130
DETTOL SOAP B,2,130
DABUR HONEY 100G,2,130
PONDS M,1,130
SENSODENE 135RS,1,130
VIM SET 130,1,125
PITAMBARI 100G,3,124
PEARS BLUE,2,124
IND DOAA MIX,1,120
ULLAS 110RS,1,120
CAMPAR 150RS,1,120
HAMAM SOAP,3,120
FAIR N LOVELY 25,2,120
SSP 5GM GREEN,1,120
SUNPURE 500ML,2,120
SENSODENE 125,1,120
PHENYLE,2,120
DOVE SOAP S,3,120
MTR SEMIYA 200GM,7,119
MEDMIX B,2,116
DABUR PASTE 200G,1,116
ARIEL 500GM,1.5,115.5
BLACK STONE 125R,1,115
LAVANG 10GM,5,115
CLI SHAMPO 1RS,115,115
HORLICKS BISCUT,2,114
CINTOL SOAP SET,3,113
MY SANDEL DOOPA,4,112
APLA 30RS,4,112
SUNRISE 50G,1,112
HORLICKS 200G,1,110
AA TP 500GM,1,110
ANIL SEMIYA 200M,5,110
MTR G MASALA 50,2,106
SAIGO,0.75,105
SOYA BEAN,0.75,103.75
METHI 250GM,2,103
COLIN 500ML,1,100
LAVANGA 10RS,7,100
HOMELITE,10,100
DOMEX,1,100
POWER SOAP,10,98
TATA GOLD 100,2,96
HIMALAYA SOAP,2,96
G LABLE 100G,2,96
TAJ 100G,1,93
CORN LOOSE,0.5,92.5
BALLAR,0.5,92.5
MEDIMEX SET,1,90
DOVE SHAMPO 2RS,45,90
EXO ROUND S,3,90
ORAL BRESH 20RS,5,90
COFFE GLASS,2,90
MANGAL DEEP DOOP,6,90
LIRIL SOAP,2,88
T.STICKS,0.345,86.25
EV K METHI,3,85
CAMPAR 50RS,2,85
BOOST 5RS,17,85
CYCLE 10RS,8,80
COL SALT 20RS,4,80
TATA ROCK SALT,4,80
DETTOL SOAP S,2,76
QUKER OATS 400GM,1,76
HIMALAYA FACE WA,1,75
KIS JAM 500,1,73
UJALA BIG,1,73
LEVISTA 2RS,36,72
COL SALT 100,1,70
MTR BADAM POW 10,1,70
WATER GLASS,1,70
SWA GARAM 200,1,70
SHANTALA 40RS,2,70
IND RAGI,1,70
TEJU CK 500GM,0.5,70
MESWAK 100GM,1,65
TOMOTO SAUCE,1,65
CELL 16RS,4,60
LIFE BOY SET  64,1,60
ACT 10RS,6,60
SOUMF 50GM,3,60
RIN POWDER 10RS,6,59
PICKLE 60RS,1,58
ANIL BROKEN WHEA,1,58
SUGAR CANDY,0.4,58
SOYA CHUNKS L,1,58
CHIA SEEDS,1,58
CHANDRIKA SET,1,58
AVALAKKI 500GM P,1,57
STAR KESAR,8,56
COMFART 180ML,1,56
B L RAVA ROST,1,56
SENSODEBE BRUSH,2,56
VIVA ATTA 10KG,0.1,55
SWARNA CHAMPA 60,1,55
ANILL APLAM B,1,55
CAMPAR 100RS,1,55
CAMPOPR 70RS,1,55
GINGER GARLIC 5R,11,55
EA SP 100,1,53
VIM LIQ 250ML,1,53
LION DATES ARABI,0.5,50
RASNA POWDER,1,50
BRU 10RS,5,50
DALDA 200,2,50
BATHI,5,50
LIFE BOY 10RS,5,50
SCBRITE 10RS,5,50
CAMPAR 20RS,5,50
SURF XL 10RS,5,50
U YELLU,0.25,50
AA CHIKEN 50GM,2,50
ENO 10RS,6,48
MAIDA SPL,1,45
ARKA 500GM,0.5,45
VIM LIQ 20RS,3,45
YIPPEE 12RS,3,42
AJAY HARD,2,40
OMA 100GM,1,40
LIP BALM,1,40
HARPIC RED 200,1,40
DAR FANTASY 40RS,1,40
KIS JAM 20RS,2,40
DRY GRAPES 10RS,4,40
OMA 50GM,2,40
BUDS TULIP,1,40
SANTOOR 10RS,4,40
B THILL 50G,2,40
P CHUTE 100ML,1,36
NAPTHALE BALLS,1,35
VASU BIG,1,35
K DEVAN 100GM,1,35
B L AVALAKI,1,35
EVEREADY S,2,34
B L BANSI RAVA,1,30
RED LABLE 10RS,3,30
ROCKSALT,2,30
PATTA 10RS,3,30
GOLD WINNER 200M,1,30
TIDE 10RS,3,30
BROWN RICE,0.5,30
MTR 10RS,3,30
AA SP 10RS,3,30
SODA,3,30
CHOCO 5RS,5,25
UJALA S,1,25
DRANEX 25,1,24
BLECHING POWDER,1,23
KAL HUVA,0.025,21.25
SCBRITE 35RS,1,20
TEJU 10RS,2,20
EXO 10RS,2,20
CYCLE 20RS,1,20
GOOD DAY 10RS,2,20
GRB 10RS,2,20
AA CHIKEN 10RS,2,20
BARLY 100G,1,20
IG PULIOGARE,2,20
LAKSHMAN REKA,1,15
RAVA B,0.25,12
HORLICKS 5RS,2,10
SUNRISE 10RS,1,10
KARJURA 500GM,0.05,9.5
COMFART 4RS,2,8
RIN 5 RS,1,5
SubTotal,7853.725,523923.14
