product_name,quantity,amount
SURF EASY 500G,4,320
MTR CP 100GM,7,318
TIDE 1 KG,2,310
DARK FANTASY 170,2,300
P CHUTE 200ML,4,297
RED LABEL 500G,1,280
H&S SHAMPO 2RS,134,280
B L MAIDA 1KG,5.5,280
DRY GRAPES 250GM,3,278
BALLAR,1.5,277.5
MAGGI 4PACK,5,272
SAFOLA GREEN,2,270
MTR BADAM POW 50,1,270
DOMEX TOILET,2,270
CAMPAR 150RS,2,270
CASHW 250GM,1,265
PEARS SOAP B,5,265
MTR VANGIBATH 10,22,261.6
MY SANDLE GOLD,3,261
SENSODENE 135RS,2,260
ARIEL 1 KG,2,260
COL PASTE 200GM,2,260
SABEENA 500GM,24,260
MTR PULIOGARE 20,2,260
MTR VANGIBATH 20,2,260
SUNSILK 200ML,2,260
PEARS BODY L,2,260
NYLON SAIGO 500G,4,260
COL PASTE 50GM,13,259
DOVE SET 235,1,252
MTR DP 100G,8,251
SSP 5GM GREEN,2,250
L G PKT,3,250
BOOST 500G,1,245
MTR BADAM POW 20,2,245
TATA GOLD 100,5,240
JEERA 50GM,6,240
G LABLE 100G,6,236
COL BRUSH 20RS,11,235
MTR VANGIBATH 10,3,232
ODONIL,4,220
SURF XL FR 1KG,1,220
AA PEPPER PO 50G,4,220
AVALAKKI 500GM P,2.5,220
AA DP 100GM,7.5,220
P CHUTE 600ML,1,220
PARLE G 10RS,22,220
MTR SP 100G,3,219
SURF XL 1KG,1,215
SUNRISE 100G,1,213
VANISH B,1,210
BIOGAN BIG,1,210
HORLICKS 200G,2,210
AA GARAM 50GM,6,210
JEENI 500G,1,200
IND DOAA MIX,2,200
GRB 50ML,2,200
AA SP 100GM,4,200
DABUR PASTE 100G,3,195
H N S SHAMPO 200,1,195
MOP 240,1,195
VIP COLOR,4,194
SOUMF 100GM,4,194
LIFEBOY 1=1,1,190
SENSODENE 195,1,190
SWA SP 500GM,1,190
CLOSUP OFER 160R,1,188
SURF TP 1LR,1,185
CASHEW JH,0.2,180
SHANTALA 40RS,5,180
MTR SEMIYA 500G,4,180
HIDE N SIKE,6,180
GODREJ COLOR,5,175
PEPSDENT 100GM,3,174
