product_name,quantity,amount
GRAM FLOOR SOAP,6,228
PATTA,0.45,226.5
TAJ 250G,1,225
MTR DP 100G,7,224
MACRONI LOOSE,2.25,222.5
GRB CP 100GM,6,222
MAGGI 4PACK,4,220
SANTOOR 222RS,1,218
VIM 33RS,7,216
SENSODENE 220RS,1,215
MTR SEMIYA 900G,3,213
PICKEL 1KG,2,210
VANISH B,1,210
TIDE 500GM,3,210
EV KASMIRI 100GM,2,210
RAGI,5.3,206.4
W THILL 100G,6,206
BLACK STONE 55RS,4,205
MTR G MASALA 50,4,204
GREEN PEAS,2.25,200.25
COL PASTE 50GM,10,200
H N S SHAMPO 200,1,195
VIM 5RS,40,193.4
SURF EASY 500G,2,191
TRESEME RED,1,190
AA DP 100GM,6,190
CLOSE UP 100,4,188
WHEEL SOAP 10RS,19,186.1
COCONUT POWDER,1,185
DETTOL SET 199,1,185
TAJ 100G,2,184
MESWAK OFFER,1,180
LION DATES 500,1,180
TIDE LIQ FR,1,180
EXO ROUND S,6,180
FAIR N LOVELY 25,3,180
BARLY 100G,9,180
SAFOLA TASTY,1,178
GRB 200ML B,1,177
COL PASTE OFFER,1,176
MTR CP 100GM,4,175
AA CHIKEN 500GM,1,175
VIM TUB 60RS,3,174
AVALAKKI 500GM P,2.5,173
H&S SHAMPO 2RS,86,172
GALA BROOM 210,1,170
BADAM SEEDS 100G,2,170
PANCHAMI 500MLB,2,170
SWA GARAM 200,3,170
ASH CP 100,4,166
VIM LIQ 20RS,9,166
COFFE GLASS,3,165
DRY GRAPES BLACK,1,165
CHARPAPPU,0.1,164
LEVISTA 2RS,82,164
CLI SHAMPO 1RS,161,161
KIS JAM 500,1,160
SOYA CHUNKS 200G,3,160
PARLE G 10RS,16,160
SURF 10RS,16,160
EVEREADY S,8,159
VIM LIQ 250ML,3,159
COL SALT 20RS,8,158
K DEVAN 250GM,2,154
G LABLE 200G,2,154
RED RAW,2.5,150
MR MUSEL,1,145
JAGARRY POWDER,2,145
PITAMBARI 100G,3,142
AA SP 100GM,3,142
MTR RASAM 100G,2,141
AA DP 500GM,1,140
MUSTERD LOOSE,1,140
MEAL MAKER,1,140
KIS SQUASH,1,140
MTR JAMUN OFFRR,1,140
HAMAM SOAP,4,138
JAPATRE L,0.05,137.5
MILK MAID,1,136
MTR VANGIBATH 10,2,136
Z POWDER,1,135
LIZOL 1LR,1,135
PARLE G 1KG,1,135
DETTOL SOAP S,3,135
STEEL SCRUB,11,134
BOOST 200GM JAR,1,132
RICE FLOOR,3,132
KPL 500ML,1,130
VVD OIL 500ML,1,130
MTR RASAM 200G,1,130
MESWAK 100GM,2,130
SENSODENE 135RS,1,130
