product_name,NOV_23_quantity,NOV_23_amount,FEB_23_quantity,FEB_23_amount,MAR_23_quantity,MAR_23_amount,JAN_24_quantity,JAN_24_amount,JAN_23_quantity,JAN_23_amount,JUNE_23_quantity,JUNE_23_amount,APRIL_23_quantity,APRIL_23_amount,SEP_23_quantity,SEP_23_amount,OCT_23_quantity,OCT_23_amount,MAY_23_quantity,MAY_23_amount,JULY_23_quantity,JULY_23_amount,AUG_23_quantity,AUG_23_amount,DEC_23_quantity,DEC_23_amount
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,5.0,1575.0,4.0,546.0,1.0,145.0,4.0,623.0,3.0,469.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,2.0,550.0,2.0,630.0,4.0,1265.0,5.0,1585.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,2.0,550.0,2.0,630.0,4.0,1265.0,10.0,629.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,2.0,550.0,2.0,630.0,4.0,1265.0,3.0,469.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,2.0,550.0,2.0,630.0,12.0,725.0,5.0,1585.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,2.0,550.0,2.0,630.0,12.0,725.0,10.0,629.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,2.0,550.0,2.0,630.0,12.0,725.0,3.0,469.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,2.0,550.0,2.0,630.0,4.0,623.0,5.0,1585.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,2.0,550.0,2.0,630.0,4.0,623.0,10.0,629.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,2.0,550.0,2.0,630.0,4.0,623.0,3.0,469.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,2.0,550.0,7.0,418.0,4.0,1265.0,5.0,1585.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,2.0,550.0,7.0,418.0,4.0,1265.0,10.0,629.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,2.0,550.0,7.0,418.0,4.0,1265.0,3.0,469.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,2.0,550.0,7.0,418.0,12.0,725.0,5.0,1585.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,2.0,550.0,7.0,418.0,12.0,725.0,10.0,629.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,2.0,550.0,7.0,418.0,12.0,725.0,3.0,469.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,2.0,550.0,7.0,418.0,4.0,623.0,5.0,1585.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,2.0,550.0,7.0,418.0,4.0,623.0,10.0,629.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,2.0,550.0,7.0,418.0,4.0,623.0,3.0,469.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,2.0,550.0,1.0,145.0,4.0,1265.0,5.0,1585.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,2.0,550.0,1.0,145.0,4.0,1265.0,10.0,629.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,2.0,550.0,1.0,145.0,4.0,1265.0,3.0,469.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,2.0,550.0,1.0,145.0,12.0,725.0,5.0,1585.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,2.0,550.0,1.0,145.0,12.0,725.0,10.0,629.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,2.0,550.0,1.0,145.0,12.0,725.0,3.0,469.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,2.0,550.0,1.0,145.0,4.0,623.0,5.0,1585.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,2.0,550.0,1.0,145.0,4.0,623.0,10.0,629.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,2.0,550.0,1.0,145.0,4.0,623.0,3.0,469.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,4.0,546.0,2.0,630.0,4.0,1265.0,5.0,1585.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,4.0,546.0,2.0,630.0,4.0,1265.0,10.0,629.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,4.0,546.0,2.0,630.0,4.0,1265.0,3.0,469.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,4.0,546.0,2.0,630.0,12.0,725.0,5.0,1585.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,4.0,546.0,2.0,630.0,12.0,725.0,10.0,629.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,4.0,546.0,2.0,630.0,12.0,725.0,3.0,469.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,4.0,546.0,2.0,630.0,4.0,623.0,5.0,1585.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,4.0,546.0,2.0,630.0,4.0,623.0,10.0,629.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,4.0,546.0,2.0,630.0,4.0,623.0,3.0,469.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,4.0,546.0,7.0,418.0,4.0,1265.0,5.0,1585.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,4.0,546.0,7.0,418.0,4.0,1265.0,10.0,629.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,4.0,546.0,7.0,418.0,4.0,1265.0,3.0,469.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,4.0,546.0,7.0,418.0,12.0,725.0,5.0,1585.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,4.0,546.0,7.0,418.0,12.0,725.0,10.0,629.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,4.0,546.0,7.0,418.0,12.0,725.0,3.0,469.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,4.0,546.0,7.0,418.0,4.0,623.0,5.0,1585.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,4.0,546.0,7.0,418.0,4.0,623.0,10.0,629.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,4.0,546.0,7.0,418.0,4.0,623.0,3.0,469.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,4.0,546.0,1.0,145.0,4.0,1265.0,5.0,1585.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,4.0,546.0,1.0,145.0,4.0,1265.0,10.0,629.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,4.0,546.0,1.0,145.0,4.0,1265.0,3.0,469.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,4.0,546.0,1.0,145.0,12.0,725.0,5.0,1585.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,4.0,546.0,1.0,145.0,12.0,725.0,10.0,629.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,4.0,546.0,1.0,145.0,12.0,725.0,3.0,469.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,4.0,546.0,1.0,145.0,4.0,623.0,5.0,1585.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,4.0,546.0,1.0,145.0,4.0,623.0,10.0,629.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,11.0,693.0,0.0,0.0,1.0,60.0,0.0,0.0,8.0,503.0,12.0,756.0,4.0,546.0,1.0,145.0,4.0,623.0,3.0,469.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,2.0,550.0,2.0,630.0,4.0,1265.0,5.0,1585.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,2.0,550.0,2.0,630.0,4.0,1265.0,10.0,629.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,2.0,550.0,2.0,630.0,4.0,1265.0,3.0,469.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,2.0,550.0,2.0,630.0,12.0,725.0,5.0,1585.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,2.0,550.0,2.0,630.0,12.0,725.0,10.0,629.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,2.0,550.0,2.0,630.0,12.0,725.0,3.0,469.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,2.0,550.0,2.0,630.0,4.0,623.0,5.0,1585.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,2.0,550.0,2.0,630.0,4.0,623.0,10.0,629.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,2.0,550.0,2.0,630.0,4.0,623.0,3.0,469.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,2.0,550.0,7.0,418.0,4.0,1265.0,5.0,1585.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,2.0,550.0,7.0,418.0,4.0,1265.0,10.0,629.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,2.0,550.0,7.0,418.0,4.0,1265.0,3.0,469.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,2.0,550.0,7.0,418.0,12.0,725.0,5.0,1585.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,2.0,550.0,7.0,418.0,12.0,725.0,10.0,629.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,2.0,550.0,7.0,418.0,12.0,725.0,3.0,469.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,2.0,550.0,7.0,418.0,4.0,623.0,5.0,1585.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,2.0,550.0,7.0,418.0,4.0,623.0,10.0,629.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,2.0,550.0,7.0,418.0,4.0,623.0,3.0,469.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,2.0,550.0,1.0,145.0,4.0,1265.0,5.0,1585.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,2.0,550.0,1.0,145.0,4.0,1265.0,10.0,629.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,2.0,550.0,1.0,145.0,4.0,1265.0,3.0,469.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,2.0,550.0,1.0,145.0,12.0,725.0,5.0,1585.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,2.0,550.0,1.0,145.0,12.0,725.0,10.0,629.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,2.0,550.0,1.0,145.0,12.0,725.0,3.0,469.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,2.0,550.0,1.0,145.0,4.0,623.0,5.0,1585.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,2.0,550.0,1.0,145.0,4.0,623.0,10.0,629.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,2.0,550.0,1.0,145.0,4.0,623.0,3.0,469.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,4.0,546.0,2.0,630.0,4.0,1265.0,5.0,1585.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,4.0,546.0,2.0,630.0,4.0,1265.0,10.0,629.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,4.0,546.0,2.0,630.0,4.0,1265.0,3.0,469.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,4.0,546.0,2.0,630.0,12.0,725.0,5.0,1585.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,4.0,546.0,2.0,630.0,12.0,725.0,10.0,629.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,4.0,546.0,2.0,630.0,12.0,725.0,3.0,469.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,4.0,546.0,2.0,630.0,4.0,623.0,5.0,1585.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,4.0,546.0,2.0,630.0,4.0,623.0,10.0,629.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,4.0,546.0,2.0,630.0,4.0,623.0,3.0,469.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,4.0,546.0,7.0,418.0,4.0,1265.0,5.0,1585.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,4.0,546.0,7.0,418.0,4.0,1265.0,10.0,629.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,4.0,546.0,7.0,418.0,4.0,1265.0,3.0,469.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,4.0,546.0,7.0,418.0,12.0,725.0,5.0,1585.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,4.0,546.0,7.0,418.0,12.0,725.0,10.0,629.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,4.0,546.0,7.0,418.0,12.0,725.0,3.0,469.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,4.0,546.0,7.0,418.0,4.0,623.0,5.0,1585.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,4.0,546.0,7.0,418.0,4.0,623.0,10.0,629.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,4.0,546.0,7.0,418.0,4.0,623.0,3.0,469.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,4.0,546.0,1.0,145.0,4.0,1265.0,5.0,1585.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,4.0,546.0,1.0,145.0,4.0,1265.0,10.0,629.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,4.0,546.0,1.0,145.0,4.0,1265.0,3.0,469.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,4.0,546.0,1.0,145.0,12.0,725.0,5.0,1585.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,4.0,546.0,1.0,145.0,12.0,725.0,10.0,629.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,4.0,546.0,1.0,145.0,12.0,725.0,3.0,469.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,4.0,546.0,1.0,145.0,4.0,623.0,5.0,1585.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,4.0,546.0,1.0,145.0,4.0,623.0,10.0,629.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,5.0,1575.0,4.0,546.0,1.0,145.0,4.0,623.0,3.0,469.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,12.0,756.0,2.0,550.0,2.0,630.0,4.0,1265.0,5.0,1585.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,12.0,756.0,2.0,550.0,2.0,630.0,4.0,1265.0,10.0,629.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,12.0,756.0,2.0,550.0,2.0,630.0,4.0,1265.0,3.0,469.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,12.0,756.0,2.0,550.0,2.0,630.0,12.0,725.0,5.0,1585.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,12.0,756.0,2.0,550.0,2.0,630.0,12.0,725.0,10.0,629.0
ANNAPURNA COFFE,7.0,441.0,0.0,0.0,0.0,0.0,4.0,622.0,0.0,0.0,4.0,1175.0,0.0,0.0,6.0,1900.0,12.0,756.0,2.0,550.0,2.0,630.0,12.0,725.0,3.0,469.0
