product_name,NOV_23_quantity,NOV_23_amount,FEB_23_quantity,FEB_23_amount,MAR_23_quantity,MAR_23_amount,JAN_24_quantity,JAN_24_amount,JAN_23_quantity,JAN_23_amount,JUNE_23_quantity,JUNE_23_amount,APRIL_23_quantity,APRIL_23_amount,SEP_23_quantity,SEP_23_amount,OCT_23_quantity,OCT_23_amount,MAY_23_quantity,MAY_23_amount,JULY_23_quantity,JULY_23_amount,AUG_23_quantity,AUG_23_amount,DEC_23_quantity,DEC_23_amount
W TASTY,79.0,5031.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,9932.0,98.0,5554.0,31.5,2034.0,236.5,15350.0,102.0,5907.0,36.0,2135.0,70.5,4694.5,0.0,0.0
B L GFLOOR 500,88.5,4957.5,20.0,941.0,0.0,0.0,23.0,1295.0,20.0,917.0,26.0,1314.0,7.0,346.0,22.0,1105.0,19.5,990.0,30.0,1544.0,29.0,1454.0,62.0,3219.0,21.5,1210.0
JAGARRY R,77.14,4685.68,91.665,5466.1,1.25,75.0,102.593,6163.0,83.94,5009.42,82.23,4707.08,64.97,3837.28,72.325,4222.86,82.19,4927.2,44.14,2569.39,48.15,2813.14,122.41,7161.96,75.045,4557.16
GRB 500ML,11.0,4460.0,3.0,1210.0,0.0,0.0,13.0,5340.0,4.0,1595.0,18.0,7306.0,8.0,3265.0,13.0,5310.0,7.0,2855.0,10.0,4090.0,6.0,2426.0,19.0,7723.0,10.0,4055.0
GRAM DALL,45.75,4422.5,47.7,3876.75,0.5,40.0,40.0,3827.5,47.3,3955.0,52.85,4466.9,27.15,2178.25,40.85,3901.95,40.15,3897.8,28.75,2321.5,33.35,2816.5,68.85,6072.0,42.5,4097.5
DHANIYA FINE,22.05,4230.5,0.25,45.0,0.0,0.0,15.7,2916.0,0.0,0.0,23.0,3926.25,11.95,2070.5,8.5,1520.0,9.8,1823.0,34.15,5736.0,17.75,3096.25,10.35,1868.0,5.11,959.55
5LIT SUNPURE CAN,7.0,4195.0,4.0,3045.0,1.0,730.0,3.0,1890.0,10.0,7820.0,1.0,635.0,2.0,1420.0,2.0,1230.0,8.0,4810.0,1.0,695.0,5.0,3170.0,3.0,1890.0,0.0,0.0
DOSA RICE (FINE),99.5,4097.0,22.0,766.0,0.0,0.0,113.5,4850.0,26.0,818.0,50.25,1835.0,55.0,1890.0,65.5,2712.0,81.5,3335.0,46.5,1671.0,75.5,2939.0,56.6,2296.0,70.63,3072.85
RAVA(C),80.5,3924.0,33.25,1554.0,1.0,48.0,50.0,2400.0,16.75,835.5,0.0,0.0,1.75,94.5,14.0,710.0,7.08,347.84,13.25,606.0,0.5,24.0,5.0,240.0,12.25,590.0
FRIED GRAM,33.05,3631.5,45.95,4134.5,0.0,0.0,53.35,5872.5,42.7,3912.75,20.1,1813.5,25.0,2252.0,30.505,3206.53,23.75,2504.75,59.6,5312.55,33.85,3077.4,49.05,4835.8,31.25,3442.0
15KG SUNPURE TIN,2.0,3480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1795.0,0.0,0.0,1.0,1740.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1855.0,0.0,0.0
JEERA FINE 100G,41.0,3455.0,0.0,0.0,0.0,0.0,38.5,2963.0,0.0,0.0,21.0,1592.0,33.5,1976.5,36.0,3088.0,44.5,3755.0,42.0,2927.0,35.0,3042.0,43.0,3656.0,55.0,4570.0
GINGELLY OIL 500,58.0,3273.0,42.5,2706.5,0.0,0.0,37.0,2017.0,43.0,2778.0,54.0,3045.0,25.0,1498.0,46.0,2700.0,71.0,4075.0,31.0,1891.0,38.0,2171.0,50.0,2901.0,65.0,3626.0
CHILLI [G],7.48,3217.6,14.22,4745.2,0.0,0.0,6.435,2783.8,13.23,4926.4,6.86,2863.2,8.75,3840.0,7.1,3170.5,4.8,2062.5,8.47,3512.65,2.6,1157.75,7.15,3223.0,6.67,2883.4
JEERA LOOSE,4.0,3080.0,2.8,1258.5,0.0,0.0,3.75,2745.0,1.0,475.0,0.25,165.0,0.0,0.0,2.05,1719.0,1.7,1305.0,6.0,3680.0,1.0,780.0,2.6,2168.0,6.0,3790.0
BABA LACHKORI,2.0,2850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1300.0,0.0,0.0,0.0,0.0
IND CLASIC,15.0,2819.0,15.0,2700.0,0.0,0.0,2.0,390.0,10.0,2160.0,7.0,1295.0,6.0,1035.0,3.0,550.0,9.0,1705.0,15.0,2700.0,11.0,2085.0,0.0,0.0,4.0,726.0
AVALAKKI,48.0,2784.0,105.95,5243.5,2.0,100.0,46.5,2686.0,63.75,3116.5,40.75,2024.0,40.0,1975.5,41.5,2323.0,33.5,1940.0,93.25,4538.5,41.5,2271.0,108.0,6133.5,47.5,2749.0
MADHUR SUGAR,51.0,2652.0,7.0,325.0,0.0,0.0,13.0,693.0,0.0,0.0,3.0,168.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,0.0,5.0,250.0,24.0,1145.0,0.0,0.0
B L RICE FLOOR,47.0,2473.0,0.0,0.0,0.0,0.0,21.0,1129.0,0.0,0.0,6.0,294.0,10.0,482.0,35.5,1575.0,24.0,1218.0,21.0,948.0,50.0,2451.0,22.5,1119.0,23.0,1235.0
DHEEPAM 1LR B,13.0,2410.0,0.0,0.0,0.0,0.0,13.0,2430.0,0.0,0.0,7.0,1280.0,10.0,1930.0,13.0,2445.0,15.0,2815.0,6.0,1170.0,10.0,1860.0,22.0,4060.0,11.0,2090.0
GEMINI OIL 1LT,20.0,2329.0,12.0,1887.0,0.0,0.0,14.0,1659.0,1.0,159.0,52.0,6178.0,36.0,5034.0,20.0,2421.0,35.0,4050.0,18.0,2377.0,23.0,2749.0,22.0,2702.0,53.0,6174.0
HORSE GRAM,17.85,2297.65,11.85,1123.25,0.0,0.0,6.0,739.25,11.1,941.25,6.0,582.0,6.75,616.25,10.25,1313.75,2.95,372.75,6.5,638.25,7.0,782.0,12.5,1520.75,5.95,803.5
COTHAS 500G,7.0,2290.0,0.0,0.0,0.0,0.0,13.0,4340.0,1.0,295.0,8.0,2500.0,8.0,2405.0,13.0,4345.0,13.0,4350.0,12.0,3640.0,9.0,3017.0,14.0,4680.0,12.0,3971.0
GOLD WINNER 1LR,20.0,2273.0,45.0,6619.0,5.0,692.0,23.0,2617.0,106.0,16173.0,9.0,1086.0,25.0,3305.0,42.0,4924.0,30.0,3424.0,29.5,3783.0,14.0,1645.0,32.0,3758.0,26.0,2972.0
AA 10RS,88.0,2243.0,36.0,360.0,1.0,146.0,125.0,1250.0,60.0,840.0,95.0,975.0,48.0,515.0,155.0,2115.0,106.0,1104.0,87.0,955.0,122.0,1220.0,144.5,1475.0,118.0,4190.0
CHILLI [M],7.45,2160.0,10.1,3049.0,0.5,150.0,9.3,2687.5,15.23,4787.0,10.15,3151.0,6.4,2046.75,4.2,1511.0,2.45,846.5,20.8,6555.5,1.85,679.5,3.15,1128.25,3.85,1179.0
B GRAM,21.25,2021.5,23.15,1839.5,0.5,40.0,29.5,2472.75,16.25,1305.0,16.75,1527.75,11.0,888.5,31.15,2930.6,15.15,1435.15,21.4,1758.15,11.0,929.5,30.6,2691.25,10.0,959.0
JAVE WHEAT,25.5,1915.0,0.0,0.0,0.0,0.0,35.0,3130.0,0.0,0.0,15.0,1155.0,0.0,0.0,5.0,350.0,42.0,2940.0,0.0,0.0,7.5,537.5,28.0,1995.0,20.0,1800.0
